codigo;grupo;descripcion;unidad;precio_actual;moneda;estado;partidas_que_lo_usan;peso_en_catalogo_usd;precio_nuevo;notas
MT-VIGA-APEO;materiales;Viga o durmiente de madera de reparto para apeos y apuntalamientos.;m;2.9000;USD;verificado-mercado;13;40.60;;
MT-MOR-PEGA;materiales;Mortero de pega para mampostería, elaborado en obra con cemento y arena lavada, dosificación 1:4.;m3;99.9200;USD;derivado;37;40.50;;
MT-TUB-GAS;materiales;Tubería de cobre o acero para instalación de gas doméstico, con sus accesorios.;m;6.4000;USD;provisional;3;40.00;;
MT-ARENA;materiales;Arena lavada de río, puesta en obra, para camas de asiento y rellenos de zanja.;m3;22.0000;USD;verificado-mercado;4;39.89;;
MT-CONS-DEM;materiales;Consumibles de demolición: puntas y cinceles de martillo, discos de corte y hojas de espátula.;ud;1.1000;USD;provisional;128;38.66;;
MT-BOTIQUIN;materiales;Botiquín de primeros auxilios de obra, dotado y con reposición.;ud;35.0000;USD;verificado-mercado;2;38.50;;
MT-MICROCEM;materiales;Microcemento bicomponente con su resina y malla de refuerzo, para revestimiento continuo.;kg;5.5000;USD;verificado-mercado;2;37.40;;
MT-MOR-FRISO;materiales;Mortero de friso para revestimiento de paramentos, elaborado en obra con cemento y arena cernida, dosificación 1:5.;m3;90.9520;USD;derivado;21;36.20;;
MT-MAT-PRESTAMO;materiales;Material granular seleccionado de préstamo, tipo granzón natural, puesto en obra para rellenos compactados.;m3;16.0000;USD;verificado-mercado;2;36.00;;
MT-PYL-PLACA-RH;materiales;Placa de yeso laminado resistente a la humedad, de 12,5 mm, para áreas húmedas.;m2;11.3000;USD;verificado-mercado;2;35.71;;
MT-MACHIH-MAD;materiales;Machihembrado de madera para divisiones y forros interiores.;m2;11.0000;USD;verificado-mercado;3;35.64;;
MT-PLO-ABASTO;materiales;Tubo de abasto flexible con sus racores y accesorios de conexión a aparato.;ud;3.2000;USD;provisional;7;35.20;;
MT-CIELO-PVC;materiales;Lámina de PVC machihembrada para cielo raso, con sus perfiles de remate.;m2;16.0000;USD;verificado-mercado;2;34.40;;
MT-EXTINTOR;materiales;Extintor portátil de polvo químico seco con su soporte y señalización.;ud;34.0000;USD;verificado-mercado;1;34.00;;
MT-PYL-MONT;materiales;Montante de acero galvanizado de 70 mm para estructura de tabique autoportante.;m;2.1000;USD;verificado-mercado;5;33.39;;
MT-ESPEJO;materiales;Espejo de 4 mm con canto pulido y respaldo protegido.;m2;32.0000;USD;verificado-mercado;1;33.28;;
MT-DIFERENCIAL;materiales;Interruptor diferencial de alta sensibilidad para protección de personas.;ud;32.0000;USD;provisional;1;32.00;;
MT-PLANCHA-ACERO;materiales;Plancha de acero para placas base, cartelas y conexiones.;kg;2.2000;USD;verificado-mercado;2;31.46;;
MT-MADERA-PERGOLA;materiales;Viga y listón de madera tratada para pérgola exterior.;m;6.8000;USD;provisional;1;31.28;;
MT-PYL-PLACA;materiales;Placa de yeso laminado estándar de 15 mm de espesor, borde afinado.;m2;7.2000;USD;verificado-mercado;1;30.24;;
MT-PLO-ACC4;materiales;Accesorios de PVC sanitario de 4 pulgadas: codos, yees, sifones y pegamento.;ud;2.9000;USD;verificado-mercado;5;30.16;;
MT-LADRILLO;materiales;Ladrillo macizo de arcilla cocida.;ud;0.2300;USD;verificado-mercado;2;29.44;;
MT-PYL-PERF-CR;materiales;Perfilería de acero galvanizado para cielo raso suspendido: maestras, ángulo perimetral, horquillas y varilla de cuelgue.;m2;3.6000;USD;verificado-mercado;9;29.34;;
MQ-TALADRO;maquinaria;Taladro percutor con brocas, incluida amortización y consumo.;h;1.5000;USD;provisional;80;29.05;;
MT-CABLE-ALARMA;materiales;Cable multipar apantallado para sistemas de alarma y control.;m;0.5000;USD;verificado-mercado;4;29.00;;
MT-BARRA-APOYO;materiales;Barra de apoyo de acero inoxidable para accesibilidad en baño.;ud;28.0000;USD;verificado-mercado;1;28.00;;
MT-CELOSIA;materiales;Celosía o romanilla de aluminio para ventilación, con su marco.;m2;26.0000;USD;provisional;1;27.30;;
MQ-SIERRA;maquinaria;Sierra circular o motosierra para corte de elementos de madera.;h;2.9000;USD;provisional;38;27.11;;
MT-PLO-PVC4;materiales;Tubería de PVC sanitario de 4 pulgadas para desagüe, con junta cementada.;m;2.8000;USD;verificado-mercado;4;26.96;;
MT-PERFIL-REMATE;materiales;Perfil de aluminio o PVC para remate, esquinero y transición en enchapados.;m;2.6000;USD;provisional;10;26.52;;
MT-ELE-CAJA;materiales;Caja de paso o de mecanismo, metálica o de PVC, para empotrar.;ud;1.1000;USD;verificado-mercado;19;26.07;;
MT-PLO-SOP;materiales;Abrazaderas, soportes y tacos de fijación para tubería.;ud;0.4500;USD;provisional;20;25.92;;
MT-PLO-DESAG;materiales;Accesorios de desagüe para aparato sanitario: sifón, brida, adaptadores y pegamento.;ud;5.4000;USD;provisional;5;24.84;;
MT-ADH-PIEDRA;materiales;Adhesivo cementoso blanco de altas prestaciones, específico para piedra natural sensible a manchas.;kg;0.4600;USD;verificado-mercado;11;24.52;;
MT-TORN;materiales;Tornillería y fijaciones mecánicas para montaje de estructura y placas.;ud;0.0300;USD;provisional;35;24.42;;
MT-ADH-C2TE;materiales;Adhesivo cementoso mejorado tipo C2 TE, de deslizamiento reducido y tiempo abierto ampliado, para colocación de porcelanato en capa fina.;kg;0.3200;USD;verificado-mercado;20;24.24;;
MT-PANEL-SAND;materiales;Panel sándwich aislado con núcleo de poliuretano para cubierta.;m2;22.0000;USD;provisional;1;23.76;;
MT-CANAL-DREN;materiales;Canal de drenaje lineal prefabricado con su rejilla.;m;22.0000;USD;provisional;1;22.88;;
MT-PLO-ACC20;materiales;Accesorios de PPR de 20 mm: codos, tees, uniones y adaptadores roscados.;ud;0.8000;USD;verificado-mercado;10;22.88;;
MT-PYL-LANA;materiales;Panel de lana mineral de 60 mm para aislamiento térmico y acústico en cámara de tabique.;m2;3.6000;USD;provisional;6;22.72;;
MT-OXI-CONS;materiales;Consumibles de oxicorte y soldadura: gas, boquillas y discos de corte de metal.;ud;3.9000;USD;provisional;19;22.71;;
MT-CURADOR;materiales;Curador químico de membrana para concreto, que retiene el agua de fraguado.;l;3.4000;USD;provisional;33;22.61;;
MT-DETECT-HUMO;materiales;Detector de humo autónomo o direccionable, con su base.;ud;22.0000;USD;provisional;1;22.00;;
MQ-OXICORTE;maquinaria;Equipo de oxicorte para desguace de estructuras y elementos metálicos.;h;4.8000;USD;provisional;15;21.28;;
MT-ESTRUCT-MESON;materiales;Estructura de soporte de mesón en perfil metálico o mampostería, con su base.;m;12.0000;USD;provisional;3;21.00;;
MT-JUN-CG2;materiales;Mortero de juntas cementoso tipo CG2, de absorción reducida y resistencia elevada a la abrasión, en el color elegido.;kg;1.6000;USD;verificado-mercado;25;20.75;;
MT-STEELDECK;materiales;Lámina colaborante de acero galvanizado tipo steel deck para losa mixta.;m2;19.0000;USD;provisional;1;20.52;;
MT-LAMINA-ZINC;materiales;Lámina metálica acanalada galvanizada o prepintada para cubierta.;m2;9.5000;USD;verificado-mercado;2;20.43;;
MT-PLO-PPR20;materiales;Tubería de polipropileno PPR de 20 mm para agua fría y caliente, con termofusión.;m;1.5000;USD;verificado-mercado;4;20.00;;
MT-POLICARB;materiales;Lámina de policarbonato alveolar translúcida, con sus perfiles de unión.;m2;18.5000;USD;verificado-mercado;1;19.98;;
MQ-GRUA;maquinaria;Camión grúa o grúa móvil con operador, para izado y montaje de elementos estructurales.;h;48.0000;USD;provisional;3;19.92;;
MQ-SOLDADORA;maquinaria;Equipo de soldadura eléctrica por arco con sus accesorios, incluida amortización y consumo.;h;3.6000;USD;provisional;21;19.88;;
MT-PLACA-CEM;materiales;Placa de cemento reforzada con fibra, apta para áreas húmedas y exteriores.;m2;9.2000;USD;provisional;1;19.50;;
MT-TEJA-CRIOLLA;materiales;Teja criolla de arcilla cocida, tipo canal.;ud;0.6800;USD;verificado-mercado;1;19.04;;
MT-CAJON-PERS;materiales;Cajón de persiana prefabricado aislado, con su tapa registrable.;m;18.0000;USD;provisional;1;18.90;;
MT-GRANO-MARMOL;materiales;Grano de mármol seleccionado para granito vaciado en sitio.;kg;0.4500;USD;provisional;1;18.90;;
MT-MANGUERA;materiales;Manguera reforzada para red de agua provisional de obra.;m;0.8500;USD;provisional;1;18.70;;
MQ-VIBRADOR;maquinaria;Vibrador de aguja con motor, para compactación de concreto.;h;3.4000;USD;provisional;36;17.73;;
MT-BLQ-EST-20;materiales;Bloque de concreto estructural de 20x20x40 cm, de resistencia certificada.;ud;1.1000;USD;verificado-mercado;2;17.38;;
MT-PINT-ANTICORR;materiales;Imprimación anticorrosiva de fondo para estructura metálica.;l;7.2000;USD;provisional;12;17.35;;
MT-CONC-300;materiales;Concreto premezclado de resistencia 300 kg/cm2, puesto en obra.;m3;132.0000;USD;verificado-mercado;1;17.16;;
MT-ACRIL-IMPER;materiales;Impermeabilizante acrílico elastomérico de aplicación líquida, con su malla de refuerzo.;l;4.4000;USD;verificado-mercado;3;16.94;;
MT-POLIUR-LIQ;materiales;Membrana líquida de poliuretano de alta elasticidad y resistencia a la intemperie.;kg;10.5000;USD;verificado-mercado;1;16.80;;
MQ-VOLQ;maquinaria;Camión volqueta de 6 m³ con chofer, para transporte de escombro a vertedero.;h;18.0000;USD;provisional;4;16.56;;
MQ-ASPIR;maquinaria;Aspirador industrial con filtro de polvo fino para limpieza de soporte y control de polvo.;h;2.1000;USD;provisional;73;16.32;;
MT-ADOQUIN;materiales;Adoquín de concreto para pavimento exterior, con su cama de arena.;m2;15.5000;USD;verificado-mercado;1;16.27;;
MT-PRESERV-MAD;materiales;Preservante fungicida e insecticida para protección de madera estructural.;l;6.4000;USD;provisional;9;16.00;;
MT-SOPORTE-AC;materiales;Soporte metálico galvanizado para unidad condensadora, con sus anclajes.;ud;16.0000;USD;provisional;1;16.00;;
MQ-ROZAD;maquinaria;Rozadora eléctrica de doble disco de diamante con captación de polvo.;h;4.2000;USD;provisional;15;15.88;;
MT-MALLA-JUNTA;materiales;Malla o banda de refuerzo para juntas entre materiales distintos y encuentros con estructura.;m;1.2000;USD;provisional;11;15.84;;
MT-MOSQUITERO;materiales;Malla mosquitera con su bastidor de aluminio.;m2;7.5000;USD;provisional;2;15.82;;
MT-CUMBRERA;materiales;Pieza de cumbrera y remate para cubierta, del material de la cubierta.;m;6.4000;USD;provisional;4;15.81;;
MQ-BOMBA-CONC;maquinaria;Bomba de concreto con su operador, para vaciados de difícil acceso o gran volumen.;h;45.0000;USD;provisional;5;15.75;;
MT-BLOQUE-ALIV;materiales;Bloque de arcilla de aliviano para losa nervada.;ud;0.9500;USD;provisional;2;15.58;;
MT-CIELO-METAL;materiales;Lámina metálica lineal o en bandeja para cielo raso, prelacada.;m2;14.0000;USD;provisional;1;14.84;;
MT-PANEL-LIV;materiales;Panel liviano prefabricado de núcleo aligerado con caras de mortero, para tabiquería.;m2;14.0000;USD;provisional;1;14.84;;
MT-PANEL-PVC-BANO;materiales;Panel de PVC o composite para revestimiento de paredes de baño, con sus perfiles.;m2;13.5000;USD;provisional;1;14.45;;
MT-SAN-FIJA;materiales;Kit de fijación de aparato sanitario: anclajes, anillo de cera y tornillería.;ud;4.8000;USD;provisional;3;14.40;;
MT-CIELO-DESM;materiales;Panel de fibra mineral de 60x60 cm para cielo raso desmontable.;m2;13.5000;USD;verificado-mercado;1;14.31;;
MT-PLOT-REG;materiales;Pedestal regulable de polipropileno para piso flotante sobre cubierta.;ud;3.4000;USD;provisional;1;14.28;;
MT-TIMBRE;materiales;Timbre con su pulsador y transformador.;ud;14.0000;USD;provisional;1;14.00;;
MT-TRAGANTE;materiales;Tragante, boquilla o sumidero de cubierta con su rejilla y guardahojas.;ud;14.0000;USD;provisional;1;14.00;;
MT-ANIME-ALIV;materiales;Bloque de poliestireno expandido de aliviano para losa nervada, de menor peso propio.;ud;1.6000;USD;provisional;1;13.44;;
MT-SELLA-PIEDRA;materiales;Sellador hidrofugante y antimanchas para piedra natural y porcelanato poroso.;l;12.0000;USD;provisional;9;13.44;;
MT-PROT-OBRA;materiales;Protección de obra con plástico, cartón corrugado y cinta de enmascarar.;m2;0.3500;USD;verificado-mercado;81;13.21;;
MQ-PERF-PILOTE;maquinaria;Equipo de perforación rotatoria para pilotes vaciados en sitio, con operador.;h;55.0000;USD;provisional;1;13.20;;
MT-AUT-NIV;materiales;Mortero autonivelante de base cemento para regularización de soportes interiores.;kg;1.5500;USD;verificado-mercado;1;13.18;;
MT-ELE-MECA;materiales;Mecanismo de interruptor o tomacorriente con placa, gama estándar.;ud;3.2000;USD;verificado-mercado;4;12.80;;
MQ-AMOLA;maquinaria;Amoladora angular con disco de diamante, para corte perimetral y de juntas.;h;2.4000;USD;provisional;33;12.56;;
MT-PASTA-YESO;materiales;Pasta de yeso para friso y enlucido de paramentos interiores.;kg;0.5200;USD;verificado-mercado;2;12.22;;
MQ-CORT-AGUA;maquinaria;Cortadora eléctrica de banco con disco de diamante y refrigeración por agua, incluida amortización y consumo.;h;3.2000;USD;provisional;32;12.21;;
MT-LLAVE-PROV;materiales;Llave de paso, adaptadores y accesorios para punto de agua provisional.;ud;6.0000;USD;provisional;2;12.00;;
MT-REGISTRO;materiales;Tapa de registro practicable para cielo raso, con su marco.;ud;12.0000;USD;provisional;1;12.00;;
MT-GROUT-CELDA;materiales;Concreto fluido de relleno de celdas para mampostería estructural.;m3;126.0000;USD;verificado-mercado;4;11.84;;
MT-PYL-PASTA;materiales;Pasta de juntas y cinta de papel microperforada para tratamiento de uniones.;kg;1.0500;USD;verificado-mercado;16;11.76;;
MT-TEJA-ASF;materiales;Teja asfáltica en shingle con su fieltro base y clavos de fijación.;m2;10.5000;USD;verificado-mercado;1;11.76;;
MT-PERF-DESM;materiales;Perfilería vista en T y ángulo perimetral, con tensores, para cielo raso desmontable.;m2;5.5000;USD;verificado-mercado;2;11.55;;
MT-VIGUETA;materiales;Vigueta prefabricada pretensada de concreto para losa de entrepiso.;m;8.5000;USD;provisional;1;11.47;;
MQ-MEZCL;maquinaria;Mezcladora de concreto y mortero de 1 saco, incluida amortización y combustible.;h;3.6000;USD;provisional;45;11.20;;
MT-BLQ-EST-15;materiales;Bloque de concreto estructural de 15x20x40 cm, de resistencia certificada.;ud;0.8800;USD;verificado-mercado;1;11.09;;
MT-CONS-PULIDO;materiales;Consumibles de pulido y abrillantado: discos diamantados, abrasivos y cristalizador.;m2;2.4000;USD;provisional;5;11.04;;
MT-CEMENTO;materiales;Cemento Portland gris tipo I, en saco.;kg;0.2250;USD;verificado-mercado;10;10.85;;
MQ-ATORN;maquinaria;Atornilladora eléctrica para placa de yeso laminado, incluida amortización y consumo.;h;1.4000;USD;provisional;40;9.97;;
MT-ELECTRODO;materiales;Electrodo revestido para soldadura estructural por arco eléctrico.;kg;4.8000;USD;provisional;12;9.88;;
MT-BLQ-20;materiales;Bloque de concreto hueco de 20x20x40 cm.;ud;0.7800;USD;verificado-mercado;1;9.83;;
MT-SELLA-PASE;materiales;Kit de sellado de pase de tubería en impermeabilización, con collarín y masilla.;ud;4.6000;USD;provisional;5;9.66;;
MT-ESTUCO-VEN;materiales;Pasta de estuco veneciano a la cal, para acabado decorativo pulido.;kg;6.0000;USD;verificado-mercado;1;9.60;;
MT-MANTO-ASF;materiales;Manto asfáltico prefabricado con armadura de poliéster, para impermeabilización de cubierta.;m2;5.6000;USD;verificado-mercado;2;9.52;;
MT-FLOTANTE;materiales;Válvula de flotante y accesorios de control de nivel para tanque de agua.;ud;9.5000;USD;provisional;1;9.50;;
MT-BLQ-ARC-15;materiales;Bloque hueco de arcilla de 15x20x30 cm.;ud;0.5500;USD;verificado-mercado;1;9.24;;
MT-GEOTEXTIL;materiales;Geotextil no tejido para separación y filtro en drenajes y rellenos.;m2;1.1000;USD;provisional;6;9.02;;
MT-REJILLA-VENT;materiales;Rejilla de ventilación con marco y malla antiinsectos.;ud;9.0000;USD;verificado-mercado;1;9.00;;
MT-ESTUCO-FINO;materiales;Pasta de acabado fino para estucado y alisado de paramentos interiores.;kg;1.4500;USD;verificado-mercado;3;8.99;;
MT-QUIMICO-LIMP-AC;materiales;Producto químico espumante para limpieza de serpentines de climatización.;ud;8.5000;USD;provisional;1;8.50;;
MT-CONECTOR-CORTE;materiales;Conector de cortante soldable para losa mixta sobre estructura metálica.;ud;1.4000;USD;provisional;1;8.40;;
MT-LINEA-VIDA;materiales;Línea de vida horizontal con sus anclajes y absorbedor de energía.;m;6.2000;USD;provisional;2;8.37;;
MT-CANAL-PVC;materiales;Canal de PVC o lámina galvanizada para recogida de aguas lluvias, con sus soportes.;m;7.8000;USD;provisional;1;8.27;;
MT-PERFIL-TRANS;materiales;Perfil de transición de aluminio entre pisos de distinto material o nivel.;m;3.8000;USD;provisional;2;7.98;;
MT-PERFIL-CORTINERO;materiales;Riel de cortinero con sus soportes y accesorios.;m;7.4000;USD;provisional;1;7.77;;
MT-ADH-MADERA;materiales;Adhesivo de poliuretano para encolado de parquet y madera sobre afirmado.;kg;3.4000;USD;provisional;2;7.31;;
