capitulo;capitulo_nombre;codigo;nombre;estado;partidas_actuales;apartados_actuales;objetivo_minimo;objetivo_amplio;brecha_minima;brecha_amplia;operaciones_requeridas;variaciones_requeridas
02;Demoliciones y desmontajes;02.07;Instalaciones;completa;22;5;22;35;0;13;desmontaje_con_recuperacion | desmontaje_sin_recuperacion | demolicion_manual | demolicion_mecanica | carga | retiro;material | espesor | medio_manual_mecanico | recuperacion | altura | carga
02;Demoliciones y desmontajes;02.08;Aislamientos e impermeabilizaciones;avanzada;18;1;21;34;3;16;desmontaje_con_recuperacion | desmontaje_sin_recuperacion | demolicion_manual | demolicion_mecanica | carga | retiro;material | espesor | medio_manual_mecanico | recuperacion | altura | carga
02;Demoliciones y desmontajes;02.09;Techos y cubiertas;avanzada;21;1;22;35;1;14;desmontaje_con_recuperacion | desmontaje_sin_recuperacion | demolicion_manual | demolicion_mecanica | carga | retiro;material | espesor | medio_manual_mecanico | recuperacion | altura | carga
02;Demoliciones y desmontajes;02.10;Revestimientos, pisos y cielos rasos;completa;42;6;26;42;0;0;desmontaje_con_recuperacion | desmontaje_sin_recuperacion | demolicion_manual | demolicion_mecanica | carga | retiro;material | espesor | medio_manual_mecanico | recuperacion | altura | carga
02;Demoliciones y desmontajes;02.11;Equipamiento y mobiliario fijo;avanzada;19;1;21;34;2;15;desmontaje_con_recuperacion | desmontaje_sin_recuperacion | demolicion_manual | demolicion_mecanica | carga | retiro;material | espesor | medio_manual_mecanico | recuperacion | altura | carga
02;Demoliciones y desmontajes;02.12;Obras exteriores, firmes y pavimentos;completa;23;1;22;36;0;13;desmontaje_con_recuperacion | desmontaje_sin_recuperacion | demolicion_manual | demolicion_mecanica | carga | retiro;material | espesor | medio_manual_mecanico | recuperacion | altura | carga
03;Acondicionamiento del terreno;03.01;Limpieza, desbroce y retiro de capa vegetal;completa;14;1;13;23;0;9;replanteo | ejecucion_manual | ejecucion_mecanica | carga | transporte | control_calidad;tipo_terreno | profundidad | acceso | medio_manual_mecanico | distancia_transporte
03;Acondicionamiento del terreno;03.02;Excavaciones a cielo abierto;completa;16;1;14;25;0;9;replanteo | ejecucion_manual | ejecucion_mecanica | carga | transporte | control_calidad;tipo_terreno | profundidad | acceso | medio_manual_mecanico | distancia_transporte
03;Acondicionamiento del terreno;03.03;Zanjas, pozos y excavaciones localizadas;completa;14;1;14;24;0;10;replanteo | ejecucion_manual | ejecucion_mecanica | carga | transporte | control_calidad;tipo_terreno | profundidad | acceso | medio_manual_mecanico | distancia_transporte
03;Acondicionamiento del terreno;03.04;Rellenos, bases y compactación;completa;14;1;14;24;0;10;replanteo | ejecucion_manual | ejecucion_mecanica | carga | transporte | control_calidad;tipo_terreno | profundidad | acceso | medio_manual_mecanico | distancia_transporte
03;Acondicionamiento del terreno;03.05;Drenaje provisional, achique y estabilización;avanzada;7;2;11;20;4;13;replanteo | ejecucion_manual | ejecucion_mecanica | carga | transporte | control_calidad;tipo_terreno | profundidad | acceso | medio_manual_mecanico | distancia_transporte
03;Acondicionamiento del terreno;03.06;Carga y transporte de tierras;completa;15;1;14;24;0;9;replanteo | ejecucion_manual | ejecucion_mecanica | carga | transporte | control_calidad;tipo_terreno | profundidad | acceso | medio_manual_mecanico | distancia_transporte
04;Fundaciones;04.01;Preparación y mejoramiento del terreno;avanzada;7;2;11;20;4;13;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;tipologia | concreto | acero | dimensiones | terreno | reparacion_refuerzo
04;Fundaciones;04.02;Bases y zapatas;completa;18;1;14;25;0;7;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;tipologia | concreto | acero | dimensiones | terreno | reparacion_refuerzo
04;Fundaciones;04.03;Vigas de riostra y vigas de fundación;completa;13;1;13;23;0;10;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;tipologia | concreto | acero | dimensiones | terreno | reparacion_refuerzo
04;Fundaciones;04.04;Losas de fundación;completa;16;1;14;25;0;9;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;tipologia | concreto | acero | dimensiones | terreno | reparacion_refuerzo
04;Fundaciones;04.05;Muros de contención;completa;15;1;13;23;0;8;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;tipologia | concreto | acero | dimensiones | terreno | reparacion_refuerzo
04;Fundaciones;04.06;Pilotes y fundaciones profundas;completa;15;1;13;24;0;9;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;tipologia | concreto | acero | dimensiones | terreno | reparacion_refuerzo
04;Fundaciones;04.07;Drenaje y protección de fundaciones;avanzada;8;2;11;20;3;12;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;tipologia | concreto | acero | dimensiones | terreno | reparacion_refuerzo
04;Fundaciones;04.08;Reparación y refuerzo de fundaciones;avanzada;8;2;11;20;3;12;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;tipologia | concreto | acero | dimensiones | terreno | reparacion_refuerzo
05;Estructuras;05.01;Encofrados, cimbras y apeos de ejecución;avanzada;11;3;16;28;5;17;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;material_estructural | elemento | seccion | resistencia | altura | reparacion_refuerzo
05;Estructuras;05.02;Acero de refuerzo;avanzada;11;2;16;28;5;17;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;material_estructural | elemento | seccion | resistencia | altura | reparacion_refuerzo
05;Estructuras;05.03;Concreto estructural vaciado en sitio;completa;25;1;21;37;0;12;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;material_estructural | elemento | seccion | resistencia | altura | reparacion_refuerzo
05;Estructuras;05.04;Estructuras metálicas;completa;22;1;20;35;0;13;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;material_estructural | elemento | seccion | resistencia | altura | reparacion_refuerzo
05;Estructuras;05.05;Estructuras de madera;completa;20;1;19;34;0;14;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;material_estructural | elemento | seccion | resistencia | altura | reparacion_refuerzo
05;Estructuras;05.06;Losas y entrepisos;completa;25;1;21;37;0;12;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;material_estructural | elemento | seccion | resistencia | altura | reparacion_refuerzo
05;Estructuras;05.07;Escaleras y rampas estructurales;completa;21;1;20;35;0;14;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;material_estructural | elemento | seccion | resistencia | altura | reparacion_refuerzo
05;Estructuras;05.08;Anclajes, juntas y conexiones;avanzada;11;2;17;30;6;19;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;material_estructural | elemento | seccion | resistencia | altura | reparacion_refuerzo
05;Estructuras;05.09;Reparación y refuerzo estructural;completa;24;1;20;36;0;12;suministro_ejecucion | solo_ejecucion | reparacion | refuerzo | sustitucion | prueba_control;material_estructural | elemento | seccion | resistencia | altura | reparacion_refuerzo
06;Fachadas y particiones;06.01;Fachadas de bloque o ladrillo;avanzada;12;3;18;30;6;18;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | espesor | prestacion_termica_acustica | interior_exterior | altura | sistema
06;Fachadas y particiones;06.02;Fachadas ligeras y revestidas;avanzada;12;3;18;30;6;18;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | espesor | prestacion_termica_acustica | interior_exterior | altura | sistema
06;Fachadas y particiones;06.03;Particiones de bloque o ladrillo;completa;33;3;23;39;0;6;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | espesor | prestacion_termica_acustica | interior_exterior | altura | sistema
06;Fachadas y particiones;06.04;Particiones de yeso laminado y sistemas secos;completa;25;1;21;35;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | espesor | prestacion_termica_acustica | interior_exterior | altura | sistema
06;Fachadas y particiones;06.05;Particiones ligeras, móviles y acristaladas;completa;25;2;21;35;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | espesor | prestacion_termica_acustica | interior_exterior | altura | sistema
06;Fachadas y particiones;06.06;Dinteles, frentes de losa y remates de vano;completa;26;2;22;36;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | espesor | prestacion_termica_acustica | interior_exterior | altura | sistema
06;Fachadas y particiones;06.07;Fachadas ventiladas y sistemas de aislamiento exterior;avanzada;12;2;18;30;6;18;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | espesor | prestacion_termica_acustica | interior_exterior | altura | sistema
06;Fachadas y particiones;06.08;Celosías, defensas y cerramientos especiales;avanzada;12;2;18;30;6;18;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | espesor | prestacion_termica_acustica | interior_exterior | altura | sistema
06;Fachadas y particiones;06.09;Limpieza, restauración y tratamiento de fachadas;completa;23;1;21;35;0;12;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | espesor | prestacion_termica_acustica | interior_exterior | altura | sistema
07;Carpintería, herrería, vidrios y protección solar;07.01;Puertas interiores;completa;25;1;20;33;0;8;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | tipo_apertura | dimensiones | vidrio | seguridad | automatizacion | acabado
07;Carpintería, herrería, vidrios y protección solar;07.02;Puertas exteriores y de seguridad;completa;19;1;18;30;0;11;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | tipo_apertura | dimensiones | vidrio | seguridad | automatizacion | acabado
07;Carpintería, herrería, vidrios y protección solar;07.03;Ventanas, balconeras y paños fijos;completa;24;1;20;33;0;9;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | tipo_apertura | dimensiones | vidrio | seguridad | automatizacion | acabado
07;Carpintería, herrería, vidrios y protección solar;07.04;Portones, rejas y cierres metálicos;completa;21;2;19;31;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | tipo_apertura | dimensiones | vidrio | seguridad | automatizacion | acabado
07;Carpintería, herrería, vidrios y protección solar;07.05;Barandas y pasamanos;completa;22;2;19;32;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | tipo_apertura | dimensiones | vidrio | seguridad | automatizacion | acabado
07;Carpintería, herrería, vidrios y protección solar;07.06;Vidrios, espejos y cerramientos de vidrio;completa;20;1;19;31;0;11;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | tipo_apertura | dimensiones | vidrio | seguridad | automatizacion | acabado
07;Carpintería, herrería, vidrios y protección solar;07.07;Mamparas de baño y divisiones acristaladas;avanzada;16;1;17;29;1;13;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | tipo_apertura | dimensiones | vidrio | seguridad | automatizacion | acabado
07;Carpintería, herrería, vidrios y protección solar;07.08;Persianas, celosías, mosquiteros y protección solar;avanzada;11;3;16;27;5;16;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | tipo_apertura | dimensiones | vidrio | seguridad | automatizacion | acabado
07;Carpintería, herrería, vidrios y protección solar;07.09;Herrajes, cerraduras y automatismos;avanzada;11;2;16;27;5;16;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | tipo_apertura | dimensiones | vidrio | seguridad | automatizacion | acabado
07;Carpintería, herrería, vidrios y protección solar;07.10;Ajustes, reparación y restauración;avanzada;11;2;16;27;5;16;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;material | tipo_apertura | dimensiones | vidrio | seguridad | automatizacion | acabado
08;Remates y ayudas;08.01;Ayudas de albañilería para instalaciones;completa;13;1;13;23;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;soporte | diametro_dimension | profundidad | material_fijacion | resistencia_fuego
08;Remates y ayudas;08.02;Rozas, perforaciones y pasos;completa;13;2;13;23;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;soporte | diametro_dimension | profundidad | material_fijacion | resistencia_fuego
08;Remates y ayudas;08.03;Recibido de marcos, equipos y pequeños elementos;completa;13;2;13;23;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;soporte | diametro_dimension | profundidad | material_fijacion | resistencia_fuego
08;Remates y ayudas;08.04;Sellados, juntas y encuentros;completa;13;2;13;23;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;soporte | diametro_dimension | profundidad | material_fijacion | resistencia_fuego
08;Remates y ayudas;08.05;Alféizares, vierteaguas, pasamanos y coronaciones;completa;13;2;13;23;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;soporte | diametro_dimension | profundidad | material_fijacion | resistencia_fuego
08;Remates y ayudas;08.06;Bancadas, soportes y bases de equipos;completa;13;2;13;23;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;soporte | diametro_dimension | profundidad | material_fijacion | resistencia_fuego
08;Remates y ayudas;08.07;Forrados, cajones y tapajuntas;completa;14;2;14;24;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;soporte | diametro_dimension | profundidad | material_fijacion | resistencia_fuego
08;Remates y ayudas;08.08;Perfiles decorativos, molduras y remates especiales;completa;14;2;14;24;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;soporte | diametro_dimension | profundidad | material_fijacion | resistencia_fuego
08;Remates y ayudas;08.09;Sellado cortafuego de pasos de instalaciones;completa;14;1;14;24;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;soporte | diametro_dimension | profundidad | material_fijacion | resistencia_fuego
09;Instalaciones;09.01;Agua potable y agua caliente;completa;34;4;32;51;0;17;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.02;Desagüe sanitario y aguas pluviales;avanzada;29;2;31;49;2;20;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.03;Instalaciones eléctricas;completa;32;7;32;51;0;19;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.04;Iluminación;completa;35;1;33;53;0;18;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.05;Telecomunicaciones y datos;completa;33;1;32;51;0;18;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.06;Audiovisuales, porteros e intercomunicación;completa;32;1;32;51;0;19;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.07;Climatización y refrigeración;completa;33;1;32;51;0;18;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.08;Ventilación y extracción;completa;33;1;32;51;0;18;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.09;Gas combustible;completa;33;1;32;51;0;18;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.10;Protección contra incendios;completa;33;1;32;51;0;18;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.11;Seguridad, alarmas, CCTV y control de acceso;completa;32;1;32;51;0;19;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.12;Domótica y automatización;avanzada;29;5;31;49;2;20;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.13;Protección contra rayos y sobretensiones;avanzada;27;3;30;48;3;21;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.14;Tanques, bombas e hidroneumáticos;completa;34;1;33;52;0;18;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.15;Generación, respaldo y energía solar fotovoltaica;completa;33;1;32;51;0;18;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.16;Transporte vertical y accesibilidad mecánica;avanzada;29;2;31;49;2;20;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
09;Instalaciones;09.17;Reparación, pruebas y puesta en marcha;avanzada;29;2;31;50;2;21;suministro_instalacion | solo_instalacion | punto_completo | reparacion | sustitucion | prueba_puesta_marcha | mantenimiento;material | diametro_seccion | potencia_capacidad | empotrar_superficie | prestacion | equipo | prueba
10;Aislamientos e impermeabilizaciones;10.01;Aislamiento térmico;completa;24;1;19;33;0;9;preparacion_soporte | imprimacion | suministro_aplicacion | puntos_singulares | proteccion | reparacion | prueba_estanqueidad;soporte | sistema | espesor | exposicion | transitable | agua_presion | patologia
10;Aislamientos e impermeabilizaciones;10.02;Aislamiento acústico y control de vibraciones;avanzada;11;2;15;26;4;15;preparacion_soporte | imprimacion | suministro_aplicacion | puntos_singulares | proteccion | reparacion | prueba_estanqueidad;soporte | sistema | espesor | exposicion | transitable | agua_presion | patologia
10;Aislamientos e impermeabilizaciones;10.03;Impermeabilización de fundaciones y muros enterrados;avanzada;12;2;15;26;3;14;preparacion_soporte | imprimacion | suministro_aplicacion | puntos_singulares | proteccion | reparacion | prueba_estanqueidad;soporte | sistema | espesor | exposicion | transitable | agua_presion | patologia
10;Aislamientos e impermeabilizaciones;10.04;Impermeabilización de techos y terrazas;completa;29;2;20;35;0;6;preparacion_soporte | imprimacion | suministro_aplicacion | puntos_singulares | proteccion | reparacion | prueba_estanqueidad;soporte | sistema | espesor | exposicion | transitable | agua_presion | patologia
10;Aislamientos e impermeabilizaciones;10.05;Impermeabilización de baños, cocinas y áreas húmedas;completa;26;1;19;33;0;7;preparacion_soporte | imprimacion | suministro_aplicacion | puntos_singulares | proteccion | reparacion | prueba_estanqueidad;soporte | sistema | espesor | exposicion | transitable | agua_presion | patologia
10;Aislamientos e impermeabilizaciones;10.06;Impermeabilización de tanques, piscinas y jardineras;avanzada;12;2;15;26;3;14;preparacion_soporte | imprimacion | suministro_aplicacion | puntos_singulares | proteccion | reparacion | prueba_estanqueidad;soporte | sistema | espesor | exposicion | transitable | agua_presion | patologia
10;Aislamientos e impermeabilizaciones;10.07;Drenajes, geotextiles y capas separadoras;avanzada;12;2;15;26;3;14;preparacion_soporte | imprimacion | suministro_aplicacion | puntos_singulares | proteccion | reparacion | prueba_estanqueidad;soporte | sistema | espesor | exposicion | transitable | agua_presion | patologia
10;Aislamientos e impermeabilizaciones;10.08;Sellado de juntas y estanqueidad;avanzada;12;2;16;27;4;15;preparacion_soporte | imprimacion | suministro_aplicacion | puntos_singulares | proteccion | reparacion | prueba_estanqueidad;soporte | sistema | espesor | exposicion | transitable | agua_presion | patologia
10;Aislamientos e impermeabilizaciones;10.09;Tratamiento de filtraciones, humedad y capilaridad;avanzada;12;2;16;28;4;16;preparacion_soporte | imprimacion | suministro_aplicacion | puntos_singulares | proteccion | reparacion | prueba_estanqueidad;soporte | sistema | espesor | exposicion | transitable | agua_presion | patologia
11;Techos y cubiertas;11.01;Formación de pendientes y bases;completa;15;1;15;25;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;tipologia | material_cobertura | pendiente | soporte | aislamiento | remate | reparacion
11;Techos y cubiertas;11.02;Cubiertas planas transitables y no transitables;completa;15;1;15;25;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;tipologia | material_cobertura | pendiente | soporte | aislamiento | remate | reparacion
11;Techos y cubiertas;11.03;Cubiertas de teja;completa;14;1;14;24;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;tipologia | material_cobertura | pendiente | soporte | aislamiento | remate | reparacion
11;Techos y cubiertas;11.04;Cubiertas de lámina metálica;completa;16;1;15;25;0;9;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;tipologia | material_cobertura | pendiente | soporte | aislamiento | remate | reparacion
11;Techos y cubiertas;11.05;Cubiertas ligeras y traslúcidas;completa;14;1;14;24;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;tipologia | material_cobertura | pendiente | soporte | aislamiento | remate | reparacion
11;Techos y cubiertas;11.06;Estructuras y soportes de techo;completa;14;1;14;24;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;tipologia | material_cobertura | pendiente | soporte | aislamiento | remate | reparacion
11;Techos y cubiertas;11.07;Claraboyas, lucernarios y accesos;avanzada;12;1;14;24;2;12;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;tipologia | material_cobertura | pendiente | soporte | aislamiento | remate | reparacion
11;Techos y cubiertas;11.08;Canales, bajantes, limahoyas y remates;completa;16;1;15;25;0;9;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;tipologia | material_cobertura | pendiente | soporte | aislamiento | remate | reparacion
11;Techos y cubiertas;11.09;Reparación y mantenimiento de cubiertas;completa;14;1;14;24;0;10;suministro_colocacion | solo_colocacion | reparacion | sustitucion | remates | limpieza_tratamiento;tipologia | material_cobertura | pendiente | soporte | aislamiento | remate | reparacion
12;Revestimientos y acabados;12.01;Preparación, reparación y regularización de soportes;completa;28;1;28;43;0;15;preparacion_soporte | suministro_colocacion | solo_colocacion | reparacion | sustitucion | juntas_remates | proteccion_limpieza;soporte | material | formato | interior_exterior | humedad | transito | acabado | metodo_colocacion
12;Revestimientos y acabados;12.02;Frisos, enlucidos y revestimientos de mortero;completa;32;2;30;46;0;14;preparacion_soporte | suministro_colocacion | solo_colocacion | reparacion | sustitucion | juntas_remates | proteccion_limpieza;soporte | material | formato | interior_exterior | humedad | transito | acabado | metodo_colocacion
